"ArAr80Di","BCKG190Di","Ba138Di","Bi209Di","Ce140Di","Ce142Di","Center","Cs133Di","Eu151Di","Eu153Di","Event_length","Gd156Di","Ho165Di","I127Di","Ir191Di","Ir193Di","Lu175Di","Lu176Di","Offset","Pb207Di","Pb208Di","Pt195Di","Pt196Di","Residual","Rh103Di","Xe131Di","Time"
119.198,0,245.799,1.81246,0,0,0,0,0,0,14,0,0.224527,7.80482,0,0,0,0,0,0,6.28698,0,0,0,0,0,8.56627
74.4544,0,359.89,0,3.95117,0,301.021,0,0,4.13699,10,0,0,1.4777,0,4.05024,0,0,63.325,7.24714,12.5142,6.695,2.76972,146.795,0,0.379871,8.98903
98.9335,0,382.054,0,3.07022,0,546.53,0,3.21625,1111.84,16,0,0.385189,4.96985,457.686,959.241,0,0,81.442,1.29317,32.1858,757.248,550.344,76.726,0,0,9.04928
114.295,0,383.998,0,3.30274,0.065702,452.934,0,0,1.03984,14,0,0,11.0083,0,0,0,0,84.58,10.7316,17.9207,0,0,216.999,0,1.71164,9.24345
123.873,0,369.365,0,0,0,636.197,0,0,0,14,0,0.543664,0.203346,0,0,0.277981,0,48.052,2.15055,2.42365,0,0,283.862,0,0,9.29833
142.087,0,4087.3,0,5.35169,0,834.519,1.27553,0.140763,0.454164,19,0,0,2.10958,0,0,0,0,92.072,23.8895,56.1369,0,0,62.374,0,1.46341,9.36942
95.0749,0,231.613,0,0.285245,0,592.69,0,2.01154,0,11,0,0,2.62718,0,0,0,0,44.905,1.45581,6.08024,0,0,173.058,0,0,9.42784
101.075,0,461.716,0,0.153548,0,597.196,0,1.53861,1173.53,14,0,0,0.31291,445.57,837.962,0,0,68.785,6.06033,32.4426,5.73879,7.1619,72.221,0,0,9.45991
125.529,0,1483.3,0,6.84891,0.456374,623.293,0,0,0.681074,16,0,0,1.97487,0,0,0,0,113.637,20.2295,37.2316,1.56937,0,93.57,0,0,9.471
82.7517,0,628.519,2.81103,1.19388,0.431699,669.365,0,0,0.019902,14,0,0,6.1826,0,0,0,0,152.126,7.08224,22.815,0,0,162.278,0,0.664459,9.50786
118.013,0,0,0,0,0,0,0,0,13.2131,14,0,0,5.50974,0,1.52186,0,0,0,6.28736,0,200.33,108.262,0,0,0.287067,9.52909
123.232,0,329.416,0,3.31256,0,0,0,0,0,15,0,0,2.00016,0.493107,1.3403,0,0.641856,0,2.70138,15.8864,0.410303,2.53116,0,0,0,9.62905
64.9082,0,228.462,0,2.32966,2.60283,0,0,0,0,11,0,0,2.76809,0,0,0,0,0,2.05809,0,0,0,0,0,0,9.82318
79.0703,0,789.029,0,4.98996,0.852192,545.596,0,5.7562,1546.69,13,0,0,6.06013,939.322,1668.16,0,0,60.139,11.6936,30.3296,11.8504,10.7457,80.699,0,0,10.1809
101.517,0,679.389,0,0,0.046983,804.298,0,0,5.82836,15,0,0,0.333214,0,0.822315,0,0,93.084,4.96755,11.7715,0,0,147.045,0,0,10.2019
135.945,0,284.467,0,6.31951,2.42962,619.689,0,7.31239,1844.22,17,1.98846,0,9.64389,516.108,860.823,0,0,85.448,6.70922,21.2644,10.6005,0.230886,68.056,0,0.443589,10.2732
128.175,0,0.441281,0,0,0,654.025,0,0,4.36203,14,0,0,3.75682,6.76261,32.8979,0,0,30.193,0,3.51597,321.155,240.727,250.562,0,0,10.2925
78.6017,0,1263.71,0,9.47836,0.012345,532.608,0,0,1.06225,14,0,0,4.37315,0,0,0.888793,0.255291,89.098,2.8676,13.1423,0,0,106.042,0,0,10.2942
153.254,0,494.06,2.96041,0,0,952.191,781.22,0,0,25,2.74638,0,9.17349,54.7423,112.913,0,0,106.353,307.068,548.625,0.313595,0,135.239,0,3.92543,10.4124
153.305,0,751.554,5.2011,0,0,770.915,1763.08,0,0,21,0,0,7.38088,96.6028,193.495,0,0,115.612,382.66,981.081,0,0,73.249,2.7886,0,10.4509
85.936,0,293.014,0,0,0,552.956,0,0,2.07393,13,0,0,1.46844,0,0,0,0,66.297,0,12.6824,0,0,182.71,0,0,10.5207
108.622,0,854.31,0.631074,2.81889,0,730.137,0,0,0,14,0,0,0,0,0,0,0,100.328,6.50224,16.7472,0,0,124.612,0,0,10.6128
94.9743,0,434.908,0,12.4343,0,532.901,0,6.98194,790.948,16,0,0,4.35752,380.009,761.066,0,0.6569,79.26,7.35315,57.3153,76.6551,56.2691,98.657,0,0.40936,10.6165
76.4132,0,1434.65,0,3.16558,0.294849,506.853,0,0.248468,0.180139,14,0,0,3.53229,0,0,0,0,84.419,12.5978,36.9831,0,1.11369,81.69,0,0.725028,10.6617
82.5852,0,74.9743,2.33858,0,0,447.94,131.985,0,1.39406,12,0,0,0.880602,8.33327,29.4853,0.850401,0,70.748,41.6871,138.7,0,0,142.929,0,0,10.6992
103.487,0,2281.53,0.956735,1.40321,2.358,585.169,0,0,0.717506,17,0,0,2.81962,0,0.663312,0,0,86.41,13.0195,45.947,0,0,72.006,0,0,10.7382
157.676,0,2569.92,0.598262,1.4258,0.327855,890.767,0,0,3.29598,19,0,1.24664,5.27576,0,0,0,0,82.38,14.8752,33.1546,1.78975,0.825752,68.343,0,2.59753,10.7802
66.8852,0,452.57,0.757008,3.12253,1.80397,461.615,0,2.70954,576.68,12,0,0,4.44003,264.208,484.866,0,0,91.032,2.9116,12.115,5.48461,5.9322,93.318,0,0,10.8906
111.249,0,1702.9,0,3.02234,1.18779,883.429,0.227127,2.19376,0.071838,18,0,0,7.99026,0,1.42975,0,0,81.992,9.79858,31.5864,0.855511,0,97.205,0,0.911384,11.0007
143.855,0,3567.96,0.319756,5.92385,0.341139,700.957,0,0.94295,161.243,19,0,0,3.66107,435.577,894.343,0,0,76.613,0,3.48628,12295.2,9428.78,35.665,0,0,11.0093
102.728,0,0,0,0,0,688.102,0,0,3.31638,18,0,0,12.9067,0.459789,11.0901,0,0,67.02,0,0.128887,341.061,258.264,257.996,0,0,11.0688
129.594,0,1831.85,4.16693,0,1.98523,627.745,0,0,0.064688,17,0,0,7.78663,0,0.91074,0,0.466439,87.761,15.8663,34.5367,0,0,119.348,0,0,11.0699
115.958,0,663.883,1.10588,1.13003,0,588.62,0,0,0.633663,15,0.190868,0,7.45609,0,0,0,0,102.63,5.72105,10.2994,0,0,139.054,0,2.37583,11.1692
109.631,0,69.3195,0,1.15051,0,0,0,1.56634,1.26263,15,0,0,0.724671,0,1.52515,0,0,0,0,7.80688,56.629,57.8552,0,0,0,11.2821
107.344,0,510.497,0,0.729672,0.083713,450.684,0,3.30192,1099.82,14,0.867503,0,3.86583,564.543,1059.28,0,0,71.522,1.35408,28.0673,5.81048,14.5699,102.321,0,0,11.322
126.147,0,776.073,0,1.67742,1.93535,650.407,0,0,0.00286,14,0,0.198327,14.093,0,0,0,0,62.704,0.482628,17.9607,0,0,126.565,0,0,11.6855
77.5596,0,2574.98,1.86464,7.34474,0,557.364,0,0,0.4528,14,0,0,4.57058,0.623372,0,0,0,94.302,11.3666,46.9498,0,0,50.005,0,4.25395,11.7483
61.5527,0,615.525,0,3.00625,3.9167,387.066,0,0,0,10,0,0,0,0,0,0,0,152.312,9.82113,17.2762,2.69555,1.59062,102.503,0,0,11.7539
