FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time,,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A
1.19E+06,1826.48,731447,655.826,-1123.46,20381.8,357.113,-504.764,591.719,8.59856,,,,,,,
792086,1781.63,567321,126.437,-217.634,7372.39,-60.5888,115.442,204.253,8.6001,,,,,,,
876033,1953.73,648525,621.904,-118.67,9955.38,98.7333,-123.927,91.7601,8.60137,,,,,,,
712312,1549.16,438536,324.07,-609.628,8506.29,-110.065,55.5755,184.018,8.60799,,,,,,,
1.60E+06,2339.08,942164,750.077,-883.533,15328.8,221.812,-732.976,332.704,8.61365,,,,,,,
1.62E+06,1720.03,1.16E+06,871.186,-1213.43,18397.9,305.866,-714.682,833.564,8.61519,,,,,,,
705331,1569.96,905417,230.679,-378.727,38794.7,231.881,-49.596,462.139,8.61625,,,,,,,
934232,1602.31,493909,408.11,-216.387,6308.92,131.368,-89.0285,339.248,8.62369,,,,,,,
882800,1771.47,448791,237.675,-333.486,7151.47,-40.5541,-372.746,251.182,8.62909,,,,,,,
675550,1405.84,526863,425.162,-435.069,5800.92,60.817,-323.891,161.324,8.63861,,,,,,,
1.20E+06,2330.39,1.28E+06,646.794,-1030.67,16543,597.769,-705.048,750.569,8.63951,,,,,,,
912130,1776.33,694023,377.581,-464.092,9361.21,504.251,-114.279,63.2939,8.64177,,,,,,,
816865,1879.74,458692,258.244,-597.103,6559.84,-145.782,-13.2166,422.671,8.64817,,,,,,,
749497,1795.47,666545,302.678,-312.87,13576,274.958,259.963,44.5061,8.64903,,,,,,,
1.09E+06,1776.91,648620,353.072,-86.8899,10365.3,89.4326,-35.1782,286.92,8.66381,,,,,,,
1.11E+06,2157.89,615849,246.194,-74.3409,7535.27,402.246,123.679,358.579,8.68231,,,,,,,
1.18E+06,1968.56,852152,570.156,-1021.48,12679.2,404.993,-1093.77,667.999,8.68449,,,,,,,
745770,1504.63,508713,545.928,-255.094,7717.28,347.907,-99.1811,105.189,8.68775,,,,,,,
781417,1584.07,501889,392.452,-143.011,7448.85,114.828,207.232,26.1501,8.69147,,,,,,,
653680,1449.5,344360,185.855,-364.657,4530.4,-276.319,-342.144,204.766,8.70366,,,,,,,
871059,1498.19,482636,186.771,-572.208,5454.23,153.427,-217.661,199.707,8.70612,,,,,,,
823036,1827.13,543337,555.535,-181.263,8692.14,325.204,-133.256,473.515,8.71352,,,,,,,
