"FSC-A","FSC-Width","SSC-A","B525-FITC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
1.15345e+06,1398.35,3.11449e+06,1036.39,-89.7518,124499,1716.06,-131.359,-103.063,-550.922,255.232,0.660458
97780.7,1011.79,53396.5,71.3836,36.4856,5489.01,3.61461,-63.9565,1.17797,-52.9642,36.8592,0.661999
156821,1045.3,77930.2,75.6118,-234.424,7771.74,400.796,-131.169,-46.4556,-56.696,119.412,0.662879
71147.8,903.012,38704.4,-7.28442,-4.39983,3072.01,-164.65,25.9861,-1.25811,90.9053,40.5691,0.663839
149075,1084.12,108296,0.330062,-350.325,9032.73,693.792,-821.072,-180.479,34.5657,196.16,0.672023
91133.1,1028.48,115885,199.32,45.5318,2048.07,136.384,295.241,71.6311,-108.5,15.1002,0.674864
294013,1143.77,301769,278.087,-91.6944,25047,341.833,182.869,17.1712,-171.638,-7.0317,0.674964
110804,992.293,114978,56.2555,-14.1161,1937.83,-37.0479,468.376,102.043,-47.8554,-36.5677,0.676745
123674,1015.28,49656,-135.275,117.475,4384.21,-223.14,72.3588,37.2322,-73.4673,41.1185,0.677486
355582,1188.55,203279,129.827,-410.701,19452.9,596.684,-433.367,-140.414,-329.625,340.495,0.681227
126857,1072.78,36044.8,54.8177,-98.6503,6470.18,252.776,64.4225,-3.3476,-232.391,73.3342,0.681507
156607,1077.9,19063.6,110.731,116.951,10.6169,122.361,-43.592,-7.73888,22.2986,-160.609,0.682028
76284.1,862.271,32126.4,73.3492,-12.6694,3115.38,127.007,-193.822,-20.9643,61.363,-63.2695,0.685949
132522,1101.12,146166,166.589,-213.628,5038.35,290.764,-483.987,-132.432,-35.6289,203.444,0.689271
3.11709e+07,11437,6.79802e+07,-3279.14,-5808.58,3.66296e+06,-13378.6,17226.4,-1429.3,40357.4,100203,0.698535
81949.6,995.017,47926,-102.034,-268.18,2676.23,176.159,-34.6718,13.8094,-118.717,27.9715,0.703197
9.43621e+06,3844,2.76095e+07,209.978,-1641.7,457647,-742.781,2921.82,-330.956,6412.2,15582,0.703417
57404.7,795.989,14329.7,28.5349,-4.64718,-324.91,-125.159,314.267,77.3318,60.7497,-15.4094,0.706459
2.05236e+07,7793.71,5.38496e+07,4691.47,-9688.88,1.18377e+06,569.533,17167.4,-1496.24,38698.9,71246.2,0.745736
1.86576e+07,7190.53,5.09958e+07,5331.81,-8532.43,894714,945.796,16061,-1242.27,33539.5,67599.2,0.75422
8.56689e+06,3576.21,2.83729e+07,1515.05,-1214.14,338578,-611.689,4060.62,-209.732,6060.83,15940.4,0.756001
4.18164e+06,2072.19,1.84906e+07,862.087,-407.451,93546.7,141.47,817.652,-177.771,992.124,3735.95,0.757622
153183,1210.18,115637,11.634,5778.2,1267.19,664.566,363.764,53.6806,-632.559,364.303,0.759242
179416,1070.14,60614.2,46.7872,408.376,8639.85,-629.078,566.275,134.9,240.776,110.358,0.762544
162670,1118.85,119512,0.366511,6.49532,8514.79,-197.246,186.558,41.1794,201.691,-38.3269,0.762704
1.34211e+07,5147.91,3.60818e+07,1473.09,-1073.76,608784,-1334.89,6531.19,-502.752,9464.26,24058.3,0.763004
1.81262e+07,6804.6,4.09319e+07,-1716.36,503.874,1.47834e+06,-5900.41,6391.42,-517.498,14575,36234,0.763444
63127.2,790.703,46899.8,122.773,-83.1828,3393.2,232.193,-230.711,-46.5138,96.5345,15.8567,0.765125
1.66866e+07,6314.66,3.24056e+07,-630.665,2370.85,1.27784e+06,-5945.04,4267.44,-457.718,10506.2,27857.2,0.767346
1.86309e+06,3754.45,1.52362e+06,170116,1248.15,268261,626.795,124268,226.293,47011,41522.1,0.767386
461153,1600.05,284434,30904.7,-155.874,40870.8,1197.4,19692,-40.2199,11311,4464.32,0.767506
2.45352e+06,3820.79,2.21729e+06,1429.44,28916.6,32449.1,-455.526,1867.53,231.199,462.769,1251,0.768146
835576,2161.03,657346,408.817,-484.004,7925.84,1330.35,52.196,-117.958,69.0135,23162.6,0.769607
