FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
745108,1973.8,593520,18791.7,-315.792,19726.4,2657.35,45.6243,497.898,8.5176
820812,1667.89,495686,43894.1,750.641,77935.8,35317.6,12089,10096.4,8.51848
786708,1860.38,629853,51993,1207.2,114099,49239.8,64889.5,6034.18,8.53412
1.02E+06,1603.91,855450,17120.5,22295.3,24017.2,16305.9,2966.34,3872.14,8.53494
793990,1363.91,476571,51846.2,1356.34,55952.8,20973.9,9002.19,6768.88,8.54309
720047,1402.94,386620,18031.4,53207.4,13990.3,11705.3,6023.33,1809.7,8.54495
750160,1469.24,630777,19593.8,14454,21123.4,11411.2,2379.84,2287.17,8.55067
633471,1613.14,633844,29318,2727.86,20278.6,8286.82,1688.47,887.317,8.55357
770871,1678.68,648383,17290.1,14376.4,28716.9,20739.2,6537.32,5698.53,8.55587
716654,1716.47,502408,45929.6,3640.97,46797.6,31045.2,6958.52,5433.73,8.55677
571833,1483.65,463659,26881.4,-102.025,32409.8,16823.7,7560.65,5263.27,8.55765
621307,1653.13,452776,42348.9,1657.88,47897.2,26103.1,8105.39,10044.5,8.55795
622647,1746.94,481389,23138.5,773.425,51967,13456.6,6714.7,3625.55,8.56181
1.05E+06,1784.97,599168,42328,10996.2,24359.1,11081.3,2357.78,2511.45,8.56553
861417,1357.31,965657,373.895,91.4419,44142.2,-53.3406,-97.2592,193.581,8.56687
1.01E+06,2269.95,510275,58337.8,1365.86,47514.9,30775.3,7113.55,11129.7,8.57027
643385,1433,417380,23992,1117.45,67427.1,19144.4,2377.38,5802.22,8.57105
1.22E+06,1919.76,628597,18152.1,31018.6,49734.5,13449,4543.44,1689.82,8.57123
1.27E+06,1704.12,990957,20456.1,17757,30122.9,4444.78,1971.15,1640.86,8.57213
767582,1828.53,645474,45782,3029.29,60733.5,32977.6,10849,11595.4,8.57533
797890,1762.23,651000,26834.8,7369.67,32715.7,19258.3,2471.56,2404.49,8.58173
725494,1657.68,441405,28183.8,-159.122,69194.7,20380.6,15180.2,5675.02,8.58541
748169,1713.13,487474,30731.3,4851.34,25990.4,23066.1,7187.78,6986.9,8.59015
735183,1861.88,661768,42052.6,679.155,49159,35431.2,10226.7,4936.27,8.59191
721523,1632.81,481915,13852.9,5070.52,22532,10641.3,12374.7,4053.29,8.59929
638589,1701.87,723525,45111.5,530.47,146418,112498,61488,8132.8,8.61383
960573,1923.25,662324,39512.3,4216.52,52117.6,26532,4650.83,6885.32,8.61689
626030,1843.13,349003,39138,307.664,40941.4,23382.5,6452.34,4646.37,8.61877
621075,1580.09,469502,23505.5,1219.24,51145.4,16609.5,4612.56,6128.42,8.62245
686739,1865.07,543757,27769.4,1018.16,59979.7,25043.6,12964.7,5366.08,8.62592
710022,1365.06,427058,4290.07,-348.8,8440.08,1470.25,-646.369,793.838,8.64348
1.13E+06,1732.35,864044,34175.9,-294.735,60197.5,18608,11561.9,2114.31,8.65074
754109,1585.95,504948,23535.3,5132.68,46072.4,24761.8,4306.96,15767.5,8.65248
791414,1843.51,646840,59226.6,1240.75,56489.1,45071.3,7959.42,5141.97,8.93113
578634,1710.08,556087,40440.5,522.093,65740.1,39149.7,9073.49,7468.81,8.95729
863075,1570.85,832415,17089.2,70480.3,21822.5,7069.4,5377.9,2679.97,8.96181
601986,1627.95,479274,31327,2049.89,40509.2,29705,7710.6,3036.3,8.96805
1.08E+06,2097.91,795960,70743.1,1082.5,96260.4,39788.9,8213.5,9375.67,8.97056
855134,1759.45,1.00E+06,18666.8,252349,13988.5,3079.56,-1300.77,-596.15,8.97085
788016,1757.22,503418,27975.6,298.405,62932.5,21951.9,9744.15,10923.3,8.97674
864312,1505.5,359924,17920.7,282.84,25496.6,12813.4,5923.53,6804.3,8.98134
