FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
719032,415064,287917,1793260,1244310,198265,7782.58,33.1237,-241.967,455.857,47954.5,48.0321,301.79
740625,266748,296335,3297520,1604380,118371,8277.89,532.198,209.506,-329.267,7137.5,-31.1729,305.043
969034,366034,441921,2584640,986993,177893,7138.61,-27.4825,-371.54,37.6399,111529,-301.129,581.621
704292,317859,203820,1440660,690141,99555,3507.95,370.906,-144.251,282.757,55282.4,-243.116,198.075
467414,260200,314981,2467350,1456300,181960,5303.49,307.191,-158.505,275.842,103989,-1354.17,-125.901
1244040,640563,663036,3946760,2351300,389311,14896.9,-631.489,-657.551,490.622,170378,-512.818,-523.878
1247870,535870,366724,2305170,1574290,252783,14507.4,-85.7437,141.893,361.447,18526.5,-157.706,-590.969
757591,416246,483163,2855430,1722540,287226,9098.25,-527.927,-513.895,27.4599,79882.2,-64.3723,-383.37
935978,385625,510224,3042940,1475820,246079,13309.2,-695.115,-493.379,175.688,145664,466.068,-15.5631
976286,473395,668965,4194300,2623980,291586,14431.7,1348.93,335.55,335.953,81806,-1018.77,232.718
679963,354192,247255,1945910,1044450,128789,7558.95,637.545,79.9306,321.507,57400.9,-451.849,-564.511
611266,343242,385786,2520980,1307060,207314,7913.18,-540.263,182.088,-594.465,101783,1012.72,204.024
920410,436106,346524,2200090,1148930,181538,9312.34,-428.332,125.803,189.196,68494.6,-563.965,237.859
497743,303208,239992,1824880,1282050,164921,5286.3,-61.3105,-255.912,256.52,46935.3,-149.938,-112.84
1094500,451969,523148,3281200,1704420,274034,8625.03,-130.921,140.486,310.535,86561,-337.026,-315.367
778218,446630,545822,3848170,2618340,387652,19763.9,766.209,537.534,-585.484,43194.3,450.292,702.182
664496,424817,388723,2493440,1647400,261108,7849.06,-133.421,144.236,-19.5851,77336,41.5113,-244.996
1125940,543098,740044,4194300,2454770,419170,13875.9,-1583.96,-69.7658,307.024,363532,-211.198,643.323
671724,462317,222692,1334820,967986,163991,3761.21,-108.984,431.956,-237.771,32535.9,-33.3068,229.631
