"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
861595,2423.45,294985,26008.2,26289.4,22523.4,25236.9,34552.2,19630.9,26239.5,7.52296
951626,3065.74,448529,6675.66,7495.9,3438.46,12608.3,11004.4,-320.286,7756.27,7.57965
543740,1989.62,224632,20073.3,11483.4,4890.27,14112.5,38574.1,-2299.54,11263.2,7.58685
323302,1327.86,83648,-1464.64,5424.47,2961.28,5062.69,7124.82,-1022.83,3215.89,7.58685
537468,1954.93,150115,-4222.27,7282.44,5313.07,7656.89,21347.7,516.652,8945.4,7.65993
378178,1473.75,145058,-4219.15,7522.9,7208.54,8027.04,21933.1,-4128.05,12482.2,7.66542
631486,2181.95,149113,190211,18498,14731.2,14750.9,69457.7,3571.36,35013,7.71482
419048,1512.72,130217,1133.73,4175.75,1762.84,4421.03,7544.98,-780.516,7830.57,7.75335
296198,1180.81,67927,3542.29,2277.44,18932.7,7152.62,10778.5,-3581.25,15329.2,7.76693
1.95555e+06,4742.98,1.13426e+06,-9077.07,65075.7,65580,73675.2,197008,-4500.55,53491.6,7.77847
365069,1411.49,96493.4,16378.3,3089.46,3987.11,11057.3,1758.1,-41.1279,1535.02,7.80476
404244,1597.7,237327,871.595,1195.97,1685.82,23246.1,314.612,-111.888,1351.33,7.89745
699572,2610.65,280877,54157.7,26561.3,88244.3,40381.3,101558,49290.6,51419,7.9207
353098,1405.89,191680,1286.86,5745.7,4216.51,7019.74,4661.02,-153.283,1072.44,7.9288
382107,1408.6,122512,4654.65,7441.69,6029.93,6795.59,12392.5,11144.1,12099.9,8.02464
358441,1390.69,247251,-12171.9,7454.7,8818.33,8433.82,3995.58,-3215.1,5049.02,8.04377
381346,1544.74,109171,260097,9398.7,16159.8,13338.7,34933,3281.82,29125.3,8.07833
624545,1839.35,122679,9011.87,13207.6,5371.81,5585.84,20277,-534.103,4582.77,8.26744
314258,1278.36,97600.7,667.204,4380.15,4725.36,6429.94,5998.01,2818.9,7462.08,8.36242
1.56267e+06,5025.54,689689,88129.1,76587.2,53330.9,75189.1,215898,10743.1,76772.1,8.4207
611535,2201.19,190982,1224.88,12334.6,6579.65,9498.1,24590.9,-2336.06,5406.34,8.50487
427224,1530.58,190996,1057.49,7643,6577.27,11660.8,22925.9,1403.48,25928.1,8.59797
489353,1786.57,276174,6864.56,13153.5,19602,15910,25126.5,2373.61,23109.9,8.59799
842064,2329.46,354053,13657.4,25763.3,9558.46,28277.9,66562.9,14388.9,17781.4,8.60885
975974,3235.22,357941,13248.8,32310,26251.1,24732.1,85708.6,10008.9,37404.2,8.70009
2.86666e+06,5510.98,2.17332e+07,59765,151925,-14867.8,41096.4,-52200.1,79624.9,133880,8.72257
3.28636e+06,5942.54,1.75644e+07,79917.7,165605,20429.9,70158.6,77825.1,66965.1,122003,8.72377
648009,2241.09,253131,-10454.4,23933.9,27289.6,13850.7,39829.6,3417.33,25327.4,8.73073
416196,1521.83,64655.4,7152.19,4110.94,974.098,10665.9,33655.9,1219.84,22913.6,8.78339
397008,1449.72,222837,-10392.3,8298.79,7687.58,21372.7,3072.61,-3436.01,4402.4,8.88458
3.15234e+06,5729.41,1.9183e+07,59583.7,166451,-15086.2,37001.4,-47137.7,73978.2,126955,8.9955
316412,1251.92,111304,1976.14,7112.48,5263.84,4047.69,5738.83,-1051.14,1553.76,9.01382
4.57038e+06,8300.83,4.27973e+07,123251,11437.5,-22361.3,79111.6,-99496,158973,278854,9.15441
283866,1122.24,65673.8,-2315.69,6096.95,3620.72,6381.04,9019.74,1240.07,3691.39,9.18896
3.31673e+06,5904.53,1.58006e+07,46056.5,159554,-12729.4,31846.4,-40502.8,59972.3,104720,9.33293
3.50577e+06,6221.6,1.72055e+07,50558.4,172598,-14200.5,34900.4,-44205,65151.7,114831,9.34673
285626,1148.97,93914.6,245372,2361.86,4163.44,4299.47,12777.3,-1492.33,1599.51,10.0521
309850,1240.33,111927,-2643.82,8189.19,8664.71,7499.34,13402.8,1546.72,17003.5,10.1296
1.37355e+06,2837.04,5.97311e+06,17402.2,51708.9,-3447.91,9831.42,-10931.2,17418.4,27044.3,10.3038
